id;comment;label
1001112_1;guys... this is so stupid...;negative
1001112_2;I lost the whole morning cause HBase's RegionServer was dying with no logs, no nothing... how Am I supposed to debug the issue if u do not even generate a core dump?;negative
1014872_16;{quote}You are messing down deep below hbase in dfs.;negative
1017556_1;And I think if we're going to do a sweep up of shit, we should just kill root.;negative
1024843_1;@idiot Yeah, I was on that idiot-path for a good while but commons-lang is a hairball, at least where this hashcode making and equals is concerned.;negative
1027161_2;Pull it back in if you think different.;negative
1029542_1;i suck.;negative
1031984_8;Will still be stuck in the loop though if can't actually close regions.;negative
1037141_1;Original edited patch was messed up... stupid sed!;negative
1078380_2;Who made this stupid rule?;negative
1078380_4;Sorry but this is just stupid.;negative
1078538_5;But I will quit committing to Hama then, because I'm not going to support ONLY a binary format.;negative
1078538_6;This is not what I build a framework for.;negative
1099350_1;Well, damn.;negative
1099350_2;Blooper after blooper - I hate SVN.;negative
1182528_1;"This looks reasonable to me... sucks we have to special case handling of "" ""...";negative
1189898_14;You may want to carefully examine your assumption about this.;negative
1217410_1;Ok, wow, welcome to Linux hell...;negative
130806_2;If I get a chance I may even roll it into our dev environment but I am currently in the middle of mem leak hell.;negative
1324648_2;Both equally bad.;negative
132669_1;Negative, I am against fetch groups in principle.;negative
132669_2;This way lies metadata hell.;negative
1340869_1;"Shit, there is an dependency. Please go to Preferences -> LDAP -> Entry Editor and enable the option ""Show operational attributes"".";negative
1342186_1;Damn...;negative
1342658_1;Damn...;negative
1345883_1;Damn !;negative
1345883_2;The evil NPE strik back !!;negative
1346179_1;Bloody hell !!!;negative
1348495_1;Damn time has flown...;negative
1352960_2;Damn it !;negative
137361_2;This was a very bad bug, introduced by me being an idiot.;negative
1394769_2;I did try some variations as well, and I have to say I only got confused.;neutral
1398734_5;I have stupidly deleted the original test dir, but judging from the suite's output files, no output was created after 3 1/2 hours.;negative
1429235_1;damn this was assigned to you since months.;negative
1429746_4;Imo all this just doesn't make sense from a pure performance aspect.;negative
1455895_1;Confused about this.;neutral
